Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
Ag_Al_Fe_S_,-2.725,-3.738,-60.595,-81.014,-61.293
Ag_Al_Ga_O_,-2.725,-3.738,-62.148,-82.586,-64.042
Ag_Al_Hg_O_,-2.725,-3.738,-38.777,-60.389,-47.039
Ag_Al_Hg_S_,-2.725,-3.738,-32.66,-47.864,-36.666
Ag_Al_Ho_S_,-2.725,-3.738,-62.297,-82.896,-62.443
Ag_Al_In_O_,-2.725,-3.738,-58.561,-80.206,-60.737
Ag_Al_Ni_O_,-2.725,-3.738,-61.392,-85.327,-64.125
Ag_Al_Sn_S_,-2.725,-3.738,-47.56,-66.304,-50.315
Ag_Al_Sr_S_,-2.725,-3.738,-48.481,-68.893,-52.507
Ag_Al_V_O_,-2.725,-3.738,-82.746,-111.626,-85.372
Ag_Al_V_Se_,-2.725,-3.738,-60.86,-81.445,-61.705
Ag_As_Ba_O_,-2.725,-4.581,-58.331,-81.389,-61.966
Ag_As_Ba_Te_,-2.725,-4.581,-41.382,-56.762,-43.272
Ag_As_Ce_S_,-2.725,-4.581,-62.225,-82.922,-62.148
Ag_As_Dy_Te_,-2.725,-4.581,-50.515,-68.858,-51.239
Ag_As_Er_Se_,-2.725,-4.581,-56.551,-76.118,-57.051
Ag_As_Fe_S_,-2.725,-4.581,-60.595,-80.645,-61.86
Ag_As_Gd_O_,-2.725,-4.581,-78.784,-103.381,-79.512
Ag_As_In_O_,-2.725,-4.581,-58.561,-77.128,-59.537
Ag_As_Lu_S_,-2.725,-4.581,-62.079,-82.647,-62.118
Ag_As_Na_S_,-2.725,-4.581,-41.75,-56.789,-42.081
Ag_As_Nd_Te_,-2.725,-4.581,-51.413,-69.962,-51.924
Ag_As_Pr_S_,-2.725,-4.581,-62.311,-83.097,-62.288
Ag_As_Pt_Se_,-2.725,-4.581,-49.199,-66.859,-51.105
Ag_As_Sm_S_,-2.725,-4.581,-62.339,-83.182,-62.387
Ag_As_Tb_Se_,-2.725,-4.581,-56.805,-76.602,-57.339
Ag_As_Y_O_,-2.725,-4.581,-84.957,-111.473,-85.614
Ag_As_Yb_S_,-2.725,-4.581,-48.752,-68.017,-51.684
Ag_As_Zr_Te_,-2.725,-4.581,-58.591,-79.067,-60.294
Ag_Ba_Bi_O_,-2.725,-1.914,-58.779,-80.495,-60.523
Ag_Ba_Ce_Se_,-2.725,-1.914,-57.093,-77.859,-59.061
Ag_Ba_Cr_O_,-2.725,-1.914,-79.951,-107.167,-79.706
Ag_Ba_Dy_S_,-2.725,-1.914,-62.35,-84.265,-63.854
Ag_Ba_Fe_Se_,-2.725,-1.914,-55.245,-74.861,-56.845
Ag_Ba_Gd_S_,-2.725,-1.914,-62.424,-84.426,-63.95
Ag_Ba_Ho_O_,-2.725,-1.914,-79.288,-105.934,-79.893
Ag_Ba_In_O_,-2.725,-1.914,-58.561,-79.444,-60.244
Ag_Ba_Na_Te_,-2.725,-1.914,-34.336,-48.06,-36.706
Ag_Ba_Na_Se_,-2.725,-1.914,-38.061,-52.419,-40.154
Ag_Ba_Pr_Se_,-2.725,-1.914,-57.119,-77.925,-59.083
Ag_Ba_Rh_O_,-2.725,-1.914,-66.629,-89.344,-67.73
Ag_Ba_Sc_Se_,-2.725,-1.914,-60.417,-82.434,-62.44
Ag_Ba_Y_Te_,-2.725,-1.914,-56.415,-77.067,-58.322
Ag_Bi_Dy_Se_,-2.725,-3.743,-56.719,-75.909,-56.967
Ag_Bi_Er_S_,-2.725,-3.743,-62.255,-82.537,-62.059
Ag_Bi_Ga_Te_,-2.725,-3.743,-37.228,-51.253,-38.796
Ag_Bi_Gd_Se_,-2.725,-3.743,-56.898,-76.216,-57.151
Ag_Bi_La_Te_,-2.725,-3.743,-53.111,-71.32,-53.003
Ag_Bi_Lu_S_,-2.725,-3.743,-62.079,-82.213,-61.859
Ag_Bi_Na_S_,-2.725,-3.743,-41.75,-56.796,-43.359
Ag_Bi_Pd_S_,-2.725,-3.743,-49.923,-67.772,-51.147
Ag_Bi_Rb_Te_,-2.725,-3.743,-33.186,-46.302,-35.598
Ag_Bi_Sb_Se_,-2.725,-3.743,-43.803,-59.043,-44.328
Ag_Bi_Sb_S_,-2.725,-3.743,-47.055,-63.702,-47.353
Ag_Bi_Sc_Se_,-2.725,-3.743,-60.417,-80.785,-60.66
Ag_Bi_Sm_O_,-2.725,-3.743,-78.201,-102.555,-78.585
Ag_Bi_Sn_Se_,-2.725,-3.743,-44.203,-60.338,-45.608
Ag_Ca_Ba_O_,-2.725,-1.918,-58.331,-82.43,-62.503
Ag_Ca_Co_O_,-2.725,-1.918,-68.597,-92.177,-69.703
Ag_Ca_Cr_O_,-2.725,-1.918,-79.951,-108.143,-80.776
Ag_Ca_Dy_Te_,-2.725,-1.918,-50.515,-69.135,-52.303
Ag_Ca_Dy_S_,-2.725,-1.918,-62.35,-84.734,-64.137
Ag_Ca_Fe_Te_,-2.725,-1.918,-51.274,-68.998,-52.165
Ag_Ca_Hg_Se_,-2.725,-1.918,-30.05,-43.3,-32.754
Ag_Ca_Ho_Te_,-2.725,-1.918,-50.362,-68.904,-52.123
Ag_Ca_In_O_,-2.725,-1.918,-58.561,-80.276,-60.62
Ag_Ca_In_Te_,-2.725,-1.918,-36.758,-51.145,-38.874
Ag_Ca_K_Te_,-2.725,-1.918,-33.853,-47.415,-36.482
Ag_Ca_La_Te_,-2.725,-1.918,-53.111,-72.041,-54.571
Ag_Ca_La_Se_,-2.725,-1.918,-58.697,-80.03,-60.504
